WDPAID,NAME,HF_1993,HF_2009,Change_HF_1993_2009,Tree_area_2000,Loss_area_2001,Loss_area_2002,Loss_area_2003,Loss_area_2004,Loss_area_2005,Loss_area_2006,Loss_area_2007,Loss_area_2008,Loss_area_2009,Loss_area_2010,Loss_area_2011,Loss_area_2012,Forest_loss_2001_to_2012,Forest_gain_2001_to_2012,percent_forest_loss_2001_to_2012
67729,Thungyai - Huai Kha Khaeng Wildlife Sanctuaries,4.2361,4.1691,-0.0654,5096.81293,0.226579725,0.546400453,0.61898638,0.82048831,1.32099959,0.387786849,0.977704569,1.202674284,0.803369684,1.3274173,0.893601755,1.511681462,10.63769036,6.0342037,0.208712592
67730,Fraser Island,8.8313,9.4264,0.5968,1059.032609,1.860011227,2.473303241,0.163830239,0.284522847,0.567149176,1.053837822,0.15862319,0.115816332,2.228675845,0.56402786,1.145254285,0.873669431,11.48872149,7.758568189,1.084831703
67731,Wulingyuan Scenic and Historic Interest Area,7.5514,8.9149,1.3613,183.8543053,0.028777884,0,0.021397049,0.057559884,0.08768345,0.105485441,0.033901638,0,0.007132558,0.021897362,0.019387659,0.039534557,0.422757481,1.77590415,0.229941573
67732,Jiuzhaigou Valley Scenic and Historic Interest Area,4.9773,5.9393,0.9488,231.9310206,0.013341457,0,0.020445201,0.009365013,0.019998698,0.012021072,0.006607385,0.001081364,0.023449632,0.007930991,0.02656227,0.005645153,0.146448236,0.144197091,0.063143013
67733,Huanglong Scenic and Historic Interest Area,5.2606,6.0045,0.7416,100.9421939,0.001086404,0.026934881,0.05566693,9.66E-04,0.010748253,0.046869601,0.001570466,0.017759979,0.010382399,0.0276549,0.009787394,0.014009666,0.223436854,0.024160114,0.221351296
68915,Shirakami-Sanchi,7.0999,7.9590,0.8261,140.8495232,0,0,0,0.006341707,0,0,0,0,0,0,0,0.010508618,0.016850324,0.131283403,0.011963352
68916,Yakushima,9.1085,8.8719,-0.2617,100.973075,0,0,0,0,0,0.011764628,0,0.010785364,0,0,0,0,0.022549992,0.012387144,0.022332678
68918,Whale Sanctuary of El Vizcaino,3.6932,3.7830,0.0926,0.159181965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93290,Messel Pit Fossil Site,31.3187,22.3187,-9.0000,0.147402438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93291,Carlsbad Caverns National Park,3.4845,4.1781,0.8154,3.622660688,0,0,0,0.022735243,3.65E-04,0,0,0,0,0.246296929,1.22E-04,0,0.269518382,0,7.439790947
93292,Caves of Aggtelek Karst and Slovak Karst,8.0710,8.3484,0.2224,440.5862846,0.115836607,0.273863057,0.141233622,0.457205554,0.563398422,0.177067156,0.578339664,0.410570874,0.710240694,0.553286004,0.273800765,0.590287243,4.845129664,2.373506563,1.09970052
93294,Virgin Komi Forests,0.8457,0.8269,-0.0193,16577.72395,4.647039372,4.567845808,1.405443042,2.771985329,1.759405429,3.33431673,3.297467619,2.955516923,3.125308111,3.002366655,5.615966331,4.734592165,41.21725352,25.78111167,0.248630353
93295,Waterton Glacier International Peace Park,0.9288,0.9036,-0.0212,2338.427717,29.06318469,36.50931486,77.61486868,290.0852145,9.721518999,29.55329208,23.60813484,20.06996521,4.541876085,9.319148,1.246885242,9.342191239,540.6755944,59.0126316,23.12133022
124384,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",13.1271,11.6451,-1.4672,183.4375754,0.021482918,0.230342291,0.033584324,0.030088184,0.032593892,0.031974628,0.114042252,0.104923358,0.084828102,0.044468517,0.018993014,0.032229998,0.779551476,0.462240158,0.424968262
124385,W National Park of Niger,0.7594,2.4181,1.6518,100.2433381,0,0.001118063,0.001117798,0,0,0,0,0,0,0,0,0,0.002235862,0,0.002230434
124386,Lake Baikal,3.0290,2.6383,-0.3989,27744.19544,49.65569686,11.58205401,490.0767833,179.4456514,73.57016953,73.85031321,60.69774583,111.2105323,63.11606787,64.06553562,127.5527387,27.80775345,1332.631042,290.0759645,4.803278744
124387,Volcanoes of Kamchatka,0.7810,0.7906,0.0094,16228.97668,0.764262863,1.936788158,4.306559287,20.41998509,2.372946584,0.340775745,21.71322564,3.143343836,9.997879257,2.482774853,0.535474248,2.052439405,70.06645497,53.49813445,0.431736741
124388,Laponian Area,1.1120,1.0684,-0.0438,1186.605818,0.073536273,0.061340588,0.044862872,0.084980858,0.018687606,0.04550138,0.017748684,0.323600049,0.027040602,0.053278846,0.042424084,0.274129856,1.067131699,0.03346299,0.08993144
